Index,FTSEMIB.MI.Open,FTSEMIB.MI.High,FTSEMIB.MI.Low,FTSEMIB.MI.Close,FTSEMIB.MI.Volume,FTSEMIB.MI.Adjusted
7/06/2021,25556,25829,25515,25825,402527800,25825
8/06/2021,25843,25927,25705,25809,381595000,25809
9/06/2021,25845,25880,25692,25742,263931500,25742
10/06/2021,25756,25769,25517,25638,321813200,25638
11/06/2021,25656,25740,25608,25717,245868600,25717
14/06/2021,25789,25863,25688,25758,274146300,25758
15/06/2021,25828,25840,25645,25737,306929500,25737
16/06/2021,25807,25827,25699,25768,314186900,25768
17/06/2021,25687,25794,25671,25714,371570700,25714
18/06/2021,25670,25747,25217,25218,731037000,25218
21/06/2021,24903,25398,24903,25398,317477200,25398
22/06/2021,25428,25429,25208,25316,259562500,25316
23/06/2021,25354,25410,25077,25077,263817800,25077
24/06/2021,25150,25429,25120,25422,327891600,25422
25/06/2021,25457,25517,25422,25511,243548300,25511
28/06/2021,25504,25572,25227,25227,279356800,25227
29/06/2021,25247,25468,25247,25357,308238500,25357
30/06/2021,25351,25401,24954,25102,379004600,25102
1/07/2021,25257,25408,25040,25286,288355000,25286
2/07/2021,25342,25389,25231,25282,242390400,25282
5/07/2021,25271,25513,25163,25441,188095500,25441
6/07/2021,25446,25452,25163,25228,365431800,25228
7/07/2021,25314,25436,25166,25285,365651400,25285
8/07/2021,25135,25146,24464,24641,565763000,24641
9/07/2021,24754,25080,24751,25052,363310000,25052
12/07/2021,25119,25302,24969,25283,250998000,25283
13/07/2021,25322,25327,25082,25157,299328200,25157
14/07/2021,25110,25320,25098,25194,0,25194
15/07/2021,25085,25103,24833,24876,273841400,24876
16/07/2021,24918,24999,24686,24793,334825400,24793
19/07/2021,24513,24531,23835,23966,521284300,23966
20/07/2021,24108,24234,23818,24107,348537800,24107
21/07/2021,24248,24682,24231,24676,356040000,24676
22/07/2021,24798,24987,24735,24805,296145100,24805
23/07/2021,24936,25160,24912,25125,290847900,25125
26/07/2021,24994,25296,24972,25296,335468700,25296
27/07/2021,25225,25261,25004,25087,306853600,25087
28/07/2021,25100,25296,25060,25262,334329600,25262
29/07/2021,25363,25541,25313,25516,291852900,25516
30/07/2021,25428,25504,25348,25363,395428300,25363
2/08/2021,25536,25680,25352,25352,304444700,25352
3/08/2021,25415,25477,25276,25356,287525400,25356
4/08/2021,25478,25552,25350,25490,286732600,25490
5/08/2021,25496,25672,25492,25666,274087400,25666
6/08/2021,25679,26035,25652,26000,424175900,26000
9/08/2021,26012,26157,26010,26139,270750800,26139
10/08/2021,26155,26289,26142,26201,232389200,26201
11/08/2021,26269,26480,26219,26457,375909200,26457
12/08/2021,26483,26575,26439,26558,315729200,26558
13/08/2021,26570,26688,26539,26653,227179600,26653
16/08/2021,26488,26608,26392,26449,241063300,26449
17/08/2021,26331,26331,26161,26225,295681600,26225
18/08/2021,26225,26376,26158,26357,256836500,26357
19/08/2021,26038,26050,25716,25929,353293300,25929
20/08/2021,25906,25937,25707,25918,274437900,25918
23/08/2021,26121,26180,25936,26046,235797900,26046
24/08/2021,26151,26152,25896,26028,223774200,26028
25/08/2021,26031,26062,25966,26060,233866600,26060
26/08/2021,25963,26049,25835,25862,249266600,25862
27/08/2021,25858,26013,25814,26007,197947300,26007
30/08/2021,26062,26074,25944,26024,148386600,26024
31/08/2021,26051,26205,25895,26009,353280200,26009
1/09/2021,26186,26398,26095,26182,368480600,26182
2/09/2021,26172,26263,26151,26233,275518300,26233
3/09/2021,26221,26261,25971,26065,299511900,26065
6/09/2021,26129,26298,26121,26263,215641300,26263
7/09/2021,26245,26269,26038,26074,243791300,26074
8/09/2021,25949,26064,25717,25877,341131500,25877
9/09/2021,25716,26002,25643,25910,291664000,25910
10/09/2021,25962,25991,25643,25686,374487100,25686
13/09/2021,25794,26011,25793,25926,333632100,25926
14/09/2021,25944,26130,25916,26027,332447700,26027
15/09/2021,26051,26060,25688,25762,399956600,25762
16/09/2021,25917,26105,25914,25964,359528800,25964
17/09/2021,26119,26162,25710,25710,696227800,25710
20/09/2021,25355,25396,24941,25048,471648300,25048
21/09/2021,25210,25436,25169,25353,342132800,25353
22/09/2021,25529,25717,25432,25717,357936200,25717
23/09/2021,25895,26088,25854,26081,411942700,26081
